audio_id,class_label,split,quality,duration
AUD-000001,Machinery Fault,train,Good,10.0
AUD-000002,Machinery Fault,train,Good,10.0
AUD-000003,Machinery Fault,test,Acceptable,10.0
AUD-000004,Machinery Fault,val,Good,10.0
AUD-000005,Machinery Fault,train,Good,10.0
AUD-000006,Machinery Fault,test,Good,10.0
AUD-000007,Machinery Fault,train,Good,10.0
AUD-000008,Machinery Fault,train,Good,10.0
AUD-000009,Machinery Fault,train,Good,10.0
AUD-000010,Machinery Fault,train,Good,10.0
AUD-000011,Machinery Fault,train,Good,10.0
AUD-000012,Machinery Fault,train,Good,10.0
AUD-000013,Machinery Fault,train,Good,10.0
AUD-000014,Machinery Fault,test,Good,10.0
AUD-000015,Machinery Fault,val,Good,10.0
AUD-000016,Machinery Fault,train,Good,10.0
AUD-000017,Machinery Fault,train,Good,10.0
AUD-000018,Machinery Fault,test,Good,10.0
AUD-000019,Machinery Fault,train,Good,10.0
AUD-000020,Machinery Fault,train,Good,10.0
AUD-000021,Machinery Fault,train,Good,10.0
AUD-000022,Machinery Fault,train,Good,10.0
AUD-000023,Machinery Fault,train,Good,10.0
AUD-000024,Machinery Fault,train,Good,10.0
AUD-000025,Machinery Fault,train,Good,10.0
AUD-000026,Machinery Fault,train,Good,10.0
AUD-000027,Machinery Fault,train,Acceptable,10.0
AUD-000028,Machinery Fault,train,Acceptable,10.0
AUD-000029,Machinery Fault,train,Acceptable,10.0
AUD-000030,Machinery Fault,train,Acceptable,10.0
AUD-000031,Machinery Fault,train,Acceptable,10.0
AUD-000032,Machinery Fault,test,Acceptable,10.0
AUD-000033,Machinery Fault,val,Acceptable,10.0
AUD-000034,Machinery Fault,val,Acceptable,10.0
AUD-000035,Machinery Fault,val,Acceptable,10.0
AUD-000036,Machinery Fault,train,Acceptable,10.0
AUD-000037,Machinery Fault,train,Acceptable,10.0
AUD-000038,Machinery Fault,train,Acceptable,10.0
AUD-000039,Machinery Fault,train,Acceptable,10.0
AUD-000040,Machinery Fault,train,Acceptable,10.0
AUD-000041,Machinery Fault,train,Acceptable,10.0
AUD-000042,Machinery Fault,train,Acceptable,10.0
AUD-000043,Machinery Fault,val,Acceptable,10.0
AUD-000044,Machinery Fault,train,Acceptable,10.0
AUD-000045,Machinery Fault,train,Acceptable,10.0
AUD-000046,Machinery Fault,train,Acceptable,10.0
AUD-000047,Machinery Fault,test,Acceptable,10.0
AUD-000048,Machinery Fault,train,Acceptable,10.0
AUD-000049,Machinery Fault,val,Acceptable,10.0
AUD-000050,Machinery Fault,train,Acceptable,10.0
AUD-000051,Machinery Fault,train,Acceptable,10.0
AUD-000052,Machinery Fault,test,Acceptable,10.0
AUD-000053,Machinery Fault,train,Acceptable,10.0
AUD-000054,Machinery Fault,train,Acceptable,10.0
AUD-000055,Machinery Fault,val,Acceptable,10.0
AUD-000056,Machinery Fault,train,Acceptable,10.0
AUD-000057,Machinery Fault,val,Good,10.0
AUD-000058,Machinery Fault,test,Acceptable,10.0
AUD-000059,Machinery Fault,val,Acceptable,10.0
AUD-000060,Machinery Fault,train,Acceptable,10.0
AUD-000061,Machinery Fault,val,Acceptable,10.0
AUD-000062,Machinery Fault,train,Acceptable,10.0
AUD-000063,Machinery Fault,test,Acceptable,10.0
AUD-000064,Machinery Fault,val,Acceptable,10.0
AUD-000065,Machinery Fault,test,Acceptable,10.0
AUD-000066,Machinery Fault,train,Acceptable,10.0
AUD-000067,Machinery Fault,test,Acceptable,10.0
AUD-000068,Machinery Fault,test,Acceptable,10.0
AUD-000069,Machinery Fault,train,Acceptable,10.0
